frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
163,144480,34953.1,118836732,9974852,36593003,3053687,42443780,144480,53885,7896854,11736141,1930576,50980,742057,2600640
164,144480,61156.4,207928717,16005517,67358002,6940441,74372190,144480,53509,15291081,23471083,4091888,51032,742404,2600640
165,144480,37173.8,126390408,10659476,38464135,3795881,44873001,144480,53707,8173152,12351522,1935878,51041,743203,2600640
166,144480,33431.9,113667848,9924872,33433937,3091426,40886277,144480,53362,6930546,10212856,1566952,51073,743550,2600640
167,144480,32780.2,111452034,9809680,32756375,2950932,40244267,144480,53703,6962073,9897202,1559671,51090,744111,2600640
168,144480,32840.1,111656204,9818248,32791214,2976820,40170639,144480,53706,6851454,9966287,1543358,51166,745128,2600640
169,144480,33848.2,115083776,10139658,33923645,3210913,41398705,144480,53718,7052534,10502267,1626452,51266,746232,2600640
170,144480,37570.0,127737831,9988486,35662334,4344602,49431003,144480,53600,7306849,10928932,1806052,51308,747244,2600640
171,144480,57700.0,196176797,15511684,62252031,6637860,70552627,144480,53775,14775960,21179587,3413465,51363,747771,2600640
172,144480,43989.4,149561648,12990720,43946853,4591887,53251564,144480,53662,8506513,15375048,1882977,51415,748322,2600640
173,144480,55932.5,190169922,15684914,57575494,6425876,68077105,144480,53552,11743621,20494784,2817492,51472,750363,2600640
174,144480,32983.5,112143356,9875776,33216080,2989769,40096601,144480,53728,6932034,9977892,1566196,51499,750794,2600640
175,144480,32688.4,111140491,9792238,32632573,2952408,39979846,144480,53603,6820677,9869755,1566703,51546,751278,2600640
176,144480,32857.5,111715160,9872546,32955927,3006362,40012986,144480,53816,6872312,9965990,1578130,51636,752734,2600640
177,144480,37183.9,126424701,10328607,35060977,4099791,48970193,144480,53392,7278902,10823692,1714756,51671,752820,2600640
178,144480,46863.1,159334204,13735048,46584227,5335016,56908649,144480,53776,9445861,15902068,2034915,51705,753892,2600640
179,144480,32965.9,112083788,9991920,32866052,3029485,40120441,144480,53647,6852075,9964348,1575801,51792,754967,2600640
180,144480,53367.9,181450826,15594984,52594911,6090250,65049148,144480,53896,9819286,19091868,2073637,51823,755461,2600640
181,144480,33392.2,113533344,9997088,33431433,3015770,40901143,144480,53740,6927191,10185925,1713797,51860,755839,2600640
182,144480,58350.6,198391502,16110356,60558198,7013865,71796089,144480,53367,15056061,19431614,3499283,51920,756618,2600640
183,144480,40118.3,136398718,11689268,41209445,3900005,49526120,144480,53775,9220495,12960334,2181076,51938,757413,2600640
184,144480,34217.9,116337290,10007152,34151116,3556164,41963078,144480,53546,7206334,10562406,1702309,51966,758263,2600640
185,144480,34358.2,116813930,10190752,34159821,3275699,42514480,144480,53489,7171665,10290560,1798517,51998,759056,2600640
186,144480,55834.6,189837436,15836010,56390087,6691444,68005842,144480,53694,12119900,19409228,2686994,52043,759917,2600640
187,144480,38560.3,131101685,11405470,39502872,3607591,47101934,144480,53743,8820737,12365671,2012018,52099,761024,2600640
188,144480,58518.8,198963546,16227826,61649311,6781445,71613766,144480,53853,14235746,20833763,3487929,52122,761646,2600640
