frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
192,144480,32181.3,109415944,9676434,32746647,2789082,38095636,144480,53985,7077329,9595467,1566486,52529,768067,2600640,0,0
193,144480,32471.5,110402624,9757252,33069841,2842151,38508137,144480,53720,7137950,9779590,1564835,52577,768484,2600640,0,0
194,144480,32820.2,111587694,9878802,33514942,2864307,38734384,144480,53662,7229560,9911132,1620102,52621,769122,2600640,0,0
195,144480,37811.6,128558355,10457108,39817476,3874149,45623045,144480,53745,8541472,12298804,1991095,52689,770179,2600640,0,0
196,144480,32398.7,110155070,9730018,33004705,2810413,38463257,144480,53976,7087683,9751319,1562473,52704,770819,2600640,0,0
197,144480,32268.7,109713342,9722844,32892779,2826439,38040582,144480,53885,7094315,9695540,1566073,52720,771384,2600640,0,0
198,144480,32962.4,112071718,9975804,33737446,2902398,38726603,144480,53729,7379079,10068696,1572805,52783,771963,2600640,0,0
199,144480,32220.1,109548136,9809748,32711169,2772283,38201516,144480,53963,7037490,9548840,1584361,52825,772957,2600640,0,0
200,144480,33816.5,114975080,10140602,34647387,2986884,39727193,144480,53693,7468947,10531776,1624009,52864,773766,2600640,0,14156575367981699937
201,144480,36630.0,124541529,10110585,37570446,3950876,45373086,144480,53565,7865149,11173636,1892908,52909,774319,2600640,0,0
202,144480,36584.8,124387509,10170080,36700303,4143413,46022624,144480,54000,7524628,10491165,1766871,52942,774774,2600640,0,0
203,144480,32275.6,109736734,9744400,32976819,2815944,38000484,144480,53564,7112152,9736384,1544998,52947,774636,2600640,0,0
204,144480,32314.1,109867906,9720600,32906627,2905498,38196354,144480,53708,7085619,9706768,1584351,52988,775345,2600640,0,0
205,144480,32304.0,109833838,9866188,32770333,2796512,38065752,144480,53724,7084941,9592607,1561223,53086,776264,2600640,0,0
206,144480,35695.5,121364428,9769458,35714813,3948658,45087284,144480,53877,7473878,10072814,1660785,53105,776695,2600640,0,0
207,144480,32196.2,109466740,9725394,32799057,2796233,38002098,144480,53973,7088792,9557654,1589949,53109,777170,2600640,0,0
208,144480,32453.7,110341968,9900698,32998984,2830558,38347018,144480,53651,7132487,9741571,1549807,53114,777093,2600640,0,0
209,144480,38885.6,132210824,10330594,39189158,4470577,49441862,144480,53500,8192431,11312322,1906050,53132,778110,2600640,0,0
210,144480,36465.7,123982980,10047374,36399146,4148430,46736461,144480,53814,7269076,10095852,1688700,53151,778702,2600640,0,0
211,144480,37391.9,127132291,10015924,37700748,4254306,47642782,144480,53758,7570756,10525336,2020898,53192,779408,2600640,0,0
212,144480,32477.2,110422004,9741850,33087058,2857169,38499175,144480,53647,7107258,9802640,1571951,53215,779656,2600640,0,0
213,144480,37275.1,126734830,10970508,38000217,3548020,43781656,144480,53823,7814491,12384653,1708460,53225,780054,2600640,0,0
214,144480,36140.4,122876923,9964448,36198695,3997851,45741052,144480,53755,7384238,10200539,1724155,53301,781307,2600640,0,0
215,144480,32308.9,109849716,9741408,32929955,2787334,38190381,144480,53585,7095847,9653123,1604331,53306,781401,2600640,0,0
