frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
345,144480,29921.9,101729901,9477296,28114454,3546876,41804223
346,144480,30965.6,105279127,10044796,30985761,2781145,43124634
347,144480,30291.5,102987306,9552516,29827964,2782018,42961922
348,144480,29474.8,100210509,9605373,29852869,2697416,40376442
349,144480,27596.1,93823343,9232480,26254311,2680171,39313437
350,144480,28064.3,95414438,9264647,26778329,2678237,40311258
351,144480,29244.4,99427421,9586391,28022150,2758304,40906350
352,144480,28755.1,97762512,9460330,27566387,2787471,41010962
353,144480,28672.6,97483593,9519765,27452480,2784320,40529460
354,144480,29243.5,99424157,10286821,28149905,2772961,40857966
355,144480,29146.2,99093337,9452169,27572713,2757344,41182364
356,144480,29400.9,99960238,9819341,28407666,2779059,40688565
357,144480,29291.7,99589434,9745775,28272885,2816371,41536763
358,144480,29625.4,100723025,9425947,29167654,2760401,41948638
359,144480,29824.4,101400135,10313035,28027775,2893662,42023900
360,144480,30791.5,104687391,11202256,29601977,2810273,43183845
361,144480,28226.0,95965782,9438688,26441829,3134890,40249429
362,144480,30458.5,103554443,10409475,28220976,2879919,43411130
363,144480,30552.3,103874077,10382177,29281899,2734051,43871640
364,144480,30556.1,103887133,9614259,30747431,2774987,42081080
365,144480,28801.7,97922343,9779970,26961457,2853903,40875696
366,144480,28021.3,95270278,10272572,25798086,2802904,39345103
367,144480,29227.4,99369230,9790800,27704991,2684370,41248817
368,144480,28370.3,96455723,9123286,28379207,2663720,39425135
369,144480,27884.0,94801551,9786973,26355862,2711816,39232660
370,144480,28707.3,97600128,9405798,27366352,2793547,40698894
371,144480,29675.7,100893739,9731545,27840691,3145694,42718921
372,144480,29170.3,99173988,9478209,28157008,2750212,41718582
373,144480,28132.0,95643700,9192960,27093340,2688903,39861207
374,144480,28613.6,97283177,10396763,27169805,2686467,39806274
375,144480,33915.4,115308246,11339143,34559335,3647740,47941277
376,144480,29104.7,98952716,9413503,28391492,2742077,41029015
377,144480,29541.9,100438754,9635275,28921669,2765497,41681277
378,144480,28252.4,96055304,9382342,26689298,2779826,40495835
379,144480,30929.4,105156489,9931459,30066916,2869380,44031411
380,144480,32999.6,112194826,9525440,29657025,2915302,50372025
381,144480,28771.9,97819701,9602996,27505599,2827302,40969595
382,144480,28710.6,97612736,9617177,27400151,2834403,41121905
383,144480,29404.2,99969641,9500875,28806031,2814790,41473440
384,144480,28037.5,95323795,9292152,26852660,2790601,39795133
385,144480,28516.5,96951896,9351505,27741675,2747276,40449513
386,144480,27647.6,93998621,9333798,26132515,2750567,39407794
387,144480,28356.6,96408252,9318497,27459523,2736392,40335128
388,144480,29859.1,101517568,9793834,29276513,2967131,42580060
389,144480,28230.3,95979553,9405586,27055579,2766516,40230066
390,144480,28802.9,97925978,9451720,27993454,2762760,40969191
391,144480,28477.9,96821199,9320105,27399259,2771720,40799613
392,144480,27686.9,94131646,9429649,26285835,2798313,39526366
393,144480,28279.4,96146520,9281765,27274510,2809275,40176583
394,144480,28335.5,96336546,9420920,27229129,2734849,40471068
395,144480,29085.4,98886138,9543532,28442738,2768662,41094417
396,144480,28616.6,97293006,9560071,27696576,2793183,40569391
397,144480,28820.9,97987586,9435189,28107357,2756001,40955722
