frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
120,144480,34896.2,118646777,10042682,29897600,4683465,47360238,144480,53598,5817517,6921944,1708718,48431,700268,2600640,27166,0
121,144480,31348.2,106580685,10012286,27312010,3058641,39730400,144480,53835,5207555,6549736,1565911,48471,700626,2600640,27180,0
122,144480,30479.5,103629858,9745930,26421422,2880470,38672906,144480,53564,5020158,6266525,1546364,48574,702728,2600640,26991,0
123,144480,30881.9,104992476,9866596,26922844,2875700,39119322,144480,53656,5033943,6460931,1755961,48659,704748,2600640,26834,0
124,144480,30466.8,103586746,9742530,26448911,2788881,38808824,144480,53751,5018304,6340722,1549205,48704,705072,2600640,26858,0
125,144480,31208.9,106110056,9979949,27291038,2921668,39439927,144480,53881,5257451,6681043,1588484,48771,706872,2600640,26755,0
126,144480,31384.2,106702129,10010280,27335620,2940409,39812765,144480,53746,5169342,6730836,1579281,48837,707501,2600640,26691,0
127,144480,41697.2,141769732,12447026,36475992,5080076,52629424,144480,53770,5995637,9502018,1987667,48902,708293,2600640,26474,0
128,144480,34033.5,115709715,9306276,30091541,4151374,46551673,144480,53459,5923555,7531279,1753347,48929,709014,2600640,26298,0
129,144480,33539.1,114029945,11368104,31817504,2663413,41841500,144480,53714,6046600,8223504,1769685,49054,710663,2600640,26229,0
130,144480,31487.3,107054610,10113674,27804732,2650344,40476817,144480,53829,5745166,6894257,1616763,49106,711845,2600640,26196,0
131,144480,32769.8,111413985,10211356,31471984,3092451,40124194,144480,53566,5902725,8402948,1835702,49161,712791,2600640,25885,0
132,144480,31905.0,108474430,9877272,28915140,2793757,40176662,144480,53789,5563917,7562450,1709299,49237,714023,2600640,25917,0
133,144480,32055.4,108984790,10606130,28846697,2703293,38915783,144480,53548,5244352,7120091,1626025,49315,715752,2600640,25662,0
134,144480,30561.9,103907400,9333374,28190451,2654597,38335729,144480,53534,5531135,7346567,1697717,49395,717277,2600640,25631,0
135,144480,31080.2,105672952,9616662,28417195,2746445,38943484,144480,53448,5502463,7380918,1664110,49440,718268,2600640,25462,0
136,144480,31349.6,106584425,9686022,28419315,2762442,39397469,144480,53739,5509930,7309361,1720620,49527,718817,2600640,25695,0
137,144480,32045.4,108950240,9896584,29619615,2864086,39967166,144480,53842,5675205,7838486,1759868,49590,720364,2600640,25422,0
138,144480,32916.6,111912592,10213560,30748665,2844922,40888030,144480,53270,6124194,8222272,1816312,49640,720917,2600640,25210,0
139,144480,33487.2,113852706,10263512,31440893,2928086,41469557,144480,53748,6315346,8494288,1883639,49705,721635,2600640,25359,0
140,144480,32995.7,112180314,9885874,30812074,2884641,41462893,144480,53584,6116243,8282098,1796656,49791,723281,2600640,25141,0
141,144480,32628.3,110931200,9667560,30977933,2805982,40810399,144480,53891,6166669,8409094,1811923,49837,723935,2600640,25199,0
142,144480,32044.3,108945446,9648248,30139951,2787645,40013538,144480,53535,5934723,8081025,1761794,49916,725337,2600640,24829,0
143,144480,32035.3,108915390,9703396,29713573,2844621,40122931,144480,53531,5732073,8024089,1766015,49982,726473,2600640,24570,0
144,144480,29801.7,101323283,9355814,26550588,2672553,37310966,144480,53299,5084497,6793650,1569536,50019,726896,2600640,24466,0
145,144480,30203.1,102685441,9432518,27315283,2693966,37826427,144480,53872,5230929,7068837,1613421,50099,728127,2600640,24640,0
146,144480,31394.4,106737504,9646576,28942865,2795889,39252058,144480,53491,5525240,7820158,1698467,50195,729401,2600640,24408,0
147,144480,30083.8,102282185,9420754,27105530,2687651,37673738,144480,53507,5172851,7043726,1594428,50226,730050,2600640,24324,0
148,144480,30839.7,104852838,9631554,27775143,2824810,38618086,144480,53425,5269042,7243144,1604756,50289,730788,2600640,24243,0
149,144480,31913.3,108501032,9732466,29689715,2872313,39758169,144480,53572,5686657,7981302,1737787,50305,731223,2600640,24019,0
150,144480,34344.9,116769631,10699293,31085569,3301153,42784208,144480,53806,5565577,8632231,1731261,50413,732995,2600640,24027,0
151,144480,30238.8,102809253,9398843,27640956,2654376,37805955,144480,53709,5307590,7283113,1651588,50504,733978,2600640,24103,0
152,144480,31165.7,105959872,9602892,28470894,2773839,38994201,144480,53755,5469283,7579286,1689998,50541,735002,2600640,23964,0
153,144480,31075.8,105654280,9616186,28453100,2811462,38699166,144480,53796,5360511,7693077,1660834,50612,736044,2600640,23791,0
154,144480,31023.6,105476732,9708632,28116497,2839150,38657335,144480,53664,5306306,7483627,1629714,50642,736718,2600640,23469,0
155,144480,31728.3,107872746,9690170,29871782,2799191,39296757,144480,53565,5696698,8181604,1753632,50714,738059,2600640,23455,0
156,144480,31329.4,106517506,9699344,28945012,2807194,38930003,144480,53996,5518210,7841433,1695448,50817,739223,2600640,23495,0
157,144480,32509.7,110529512,9772110,30792266,2840228,40309915,144480,53857,6050824,8550461,1859498,50842,739614,2600640,23377,0
158,144480,34896.6,118643538,10228968,34128327,2930682,43294124,144480,53739,6713798,9681750,2009914,50863,740454,2600640,23258,0
159,144480,33370.2,113453478,10324338,30879505,2916129,41406125,144480,53442,5864136,8632996,1800701,50922,741585,2600640,22878,0
160,144480,33402.2,113563666,10322196,31549754,2796147,41196380,144480,53861,6255560,8971210,1978988,50969,742715,2600640,23125,0
161,144480,35298.0,120009627,9971622,32231936,4088182,46521237,144480,53706,6298648,8712638,1893224,51023,743058,2600640,22708,0
162,144480,37070.7,126036637,10389615,34905157,4096137,48275008,144480,53774,6836631,9716084,2148109,51065,743963,2600640,22844,0
163,144480,33167.7,112767080,9959212,31932288,2795062,40967982,144480,53678,6248633,9080668,1907801,51186,745530,2600640,22503,0
164,144480,31768.8,108000218,9666438,30415107,2686672,39310353,144480,53849,5914067,8506836,1803115,51267,746616,2600640,22525,0
165,144480,31910.2,108494850,9974002,29628895,2768842,39329846,144480,53812,5632880,8162659,1763468,51297,748023,2600640,22394,0
166,144480,32165.6,109349202,10026838,29448627,2848630,40160292,144480,53816,5555976,8111323,1730070,51368,749143,2600640,22270,0
167,144480,33460.0,113760804,10176506,31936077,2854504,41243814,144480,53563,6237402,9088876,1867735,51431,750310,2600640,22142,0
168,144480,30898.5,105052486,9507454,28553411,2708066,38407876,144480,53744,5470732,7781840,1688010,51465,751445,2600640,22192,0
169,144480,31368.9,106654022,9737566,29220349,2720067,38760621,144480,53742,5583426,8024403,1737427,51497,751312,2600640,22077,0
170,144480,34718.6,118038616,10236074,33768129,3007747,42871994,144480,53694,6651143,9721709,1959190,51553,752032,2600640,21886,0
171,144480,34156.6,116128447,10063645,34024640,2781220,41868989,144480,53774,6728942,9864057,2049653,51592,752842,2600640,22036,0
172,144480,33152.4,112712671,9908654,31844558,2757152,40766145,144480,53644,6368338,9164022,1903572,51655,753861,2600640,21732,0
173,144480,39093.4,132912766,12166662,36300585,3817827,47632489,144480,53459,6545129,11042228,2004663,51758,755248,2600640,21757,0
174,144480,36444.9,123909019,10167293,33512912,4278282,48223894,144480,53989,6538632,9305445,1996441,51773,755407,2600640,21644,0
175,144480,32595.9,110823680,9709924,31860938,2736725,39996840,144480,53772,6206893,9135599,1908372,51850,756953,2600640,21544,0
176,144480,34290.0,116582699,9694621,30540500,4456760,46035764,144480,53453,5914319,8325621,1755474,51899,757848,2600640,21233,0
177,144480,30826.3,104807958,9633798,28372319,2772245,38127671,144480,53933,5273778,7840980,1644120,51957,758964,2600640,21357,0
