frame,moved,max_cheb,max_elem,gt1,gt2,gt4,gt8,gt16,gt32,gt64
404,796,96.00,OIL,647,555,424,264,136,9,1
405,795,90.00,OIL,620,522,391,237,102,2,2
406,767,70.00,OIL,601,502,390,237,103,2,1
407,747,68.00,OIL,575,497,370,222,95,2,1
408,713,165.00,OIL,526,441,321,188,82,5,2
409,750,120.00,OIL,582,491,374,235,115,5,2
410,762,173.00,OIL,590,476,376,248,121,7,3
411,727,118.00,OIL,561,465,355,215,89,5,1
412,707,140.00,OIL,535,439,329,199,92,2,1
413,714,134.00,OIL,561,459,334,186,74,3,3
414,704,74.00,OIL,539,456,340,199,73,3,2
415,744,98.00,OIL,590,487,361,204,89,2,1
416,720,65.00,OIL,561,463,347,221,88,1,1
417,721,182.00,OIL,556,454,329,202,83,1,1
418,710,141.00,OIL,573,460,319,193,92,4,3
419,731,59.00,OIL,562,453,339,215,105,3,0
420,771,144.00,OIL,609,492,373,245,113,5,3
421,771,70.00,OIL,605,500,396,263,111,6,1
422,731,82.00,OIL,561,464,352,219,102,5,3
423,767,49.00,OIL,618,520,394,245,126,3,0
424,742,112.00,OIL,576,498,378,245,112,5,1
425,712,142.00,OIL,572,479,361,239,126,11,5
426,796,144.00,OIL,665,550,425,292,145,9,4
427,772,90.00,OIL,613,527,412,292,155,8,4
428,775,108.00,OIL,633,538,424,304,148,4,4
429,738,63.00,OIL,575,484,369,256,123,8,0
430,825,176.00,OIL,669,582,461,311,145,5,1
431,789,48.00,OIL,643,546,432,295,150,6,0
432,783,64.00,OIL,636,536,433,277,109,2,0
433,785,63.00,OIL,624,528,399,255,117,5,0
434,812,63.00,OIL,639,548,431,271,118,6,0
435,809,172.00,OIL,650,563,438,286,145,6,2
436,832,185.00,OIL,670,571,447,300,154,6,5
437,851,133.00,OIL,669,558,440,307,160,13,6
438,866,53.00,OIL,709,611,466,334,163,5,0
439,810,50.00,OIL,651,547,430,288,152,5,0
440,867,111.00,OIL,687,601,492,349,178,4,1
441,800,34.00,OIL,635,559,429,281,120,1,0
442,770,100.00,OIL,618,527,407,282,123,10,7
443,773,42.00,OIL,603,531,405,279,129,6,0
444,799,88.00,OIL,641,531,416,259,106,5,1
445,770,41.00,OIL,601,507,368,238,114,2,0
446,767,62.00,OIL,608,509,398,263,129,8,0
447,797,156.00,OIL,645,570,446,296,139,7,3
448,831,152.00,OIL,662,564,453,305,148,10,1
449,776,31.00,OIL,624,528,392,240,97,0,0
450,776,113.00,OIL,629,523,393,255,110,4,2
451,804,95.00,OIL,639,542,406,249,114,7,2
452,771,75.00,OIL,618,509,373,233,105,4,2
453,770,69.00,OIL,627,519,366,237,105,3,2
454,837,109.00,OIL,644,538,413,294,123,4,3
455,782,80.00,OIL,612,517,390,260,102,2,2
456,758,171.00,OIL,589,486,379,253,117,5,2
457,781,174.00,OIL,635,510,389,244,109,3,2
458,774,75.00,OIL,606,506,389,255,122,4,1
459,823,84.00,OIL,672,567,444,322,150,5,1
460,801,109.00,OIL,639,561,422,304,129,3,2
461,765,120.00,OIL,616,511,397,259,104,2,1
462,766,108.00,OIL,616,524,399,277,143,7,2
463,777,64.00,OIL,647,566,451,299,129,4,0
464,747,78.00,OIL,603,523,392,267,114,1,1
465,742,33.00,OIL,565,483,387,262,115,1,0
466,778,184.00,OIL,633,532,411,266,127,3,3
467,737,110.00,OIL,600,519,384,256,131,1,1
468,678,42.00,OIL,518,435,335,213,115,1,0
469,669,169.00,OIL,519,439,318,196,86,2,2
470,692,110.00,OIL,526,447,328,214,94,5,5
471,670,115.00,OIL,514,420,336,230,120,8,3
472,738,80.00,OIL,594,514,407,302,158,8,2
473,740,146.00,OIL,581,494,391,277,137,4,2
474,658,110.00,OIL,508,430,320,217,104,4,2
475,727,125.00,OIL,583,499,375,268,128,6,3
476,723,86.00,OIL,579,508,403,290,133,5,1
477,716,42.00,OIL,584,492,388,264,130,1,0
478,780,80.00,OIL,638,538,436,307,142,4,2
479,768,79.00,OIL,614,515,406,287,132,4,1
480,744,132.00,OIL,605,519,395,286,128,7,3
481,803,201.00,OIL,641,557,468,322,155,6,2
482,724,123.00,OIL,567,493,398,269,136,4,2
483,742,88.00,OIL,585,495,391,280,133,6,1
484,788,87.00,OIL,620,549,441,311,139,4,1
485,757,133.00,OIL,607,530,413,288,133,2,1
486,802,69.00,OIL,635,541,429,298,164,2,2
487,759,196.00,OIL,594,512,392,273,138,4,3
488,694,200.00,OIL,533,442,346,239,108,5,2
489,639,42.00,OIL,489,390,302,210,98,1,0
490,689,117.00,OIL,529,455,338,239,119,10,5
491,701,140.00,OIL,542,474,363,248,120,6,3
492,695,105.00,OIL,550,470,378,277,137,12,4
493,731,70.00,OIL,579,483,380,285,145,2,2
494,670,115.00,OIL,503,430,342,250,142,2,1
495,704,113.00,OIL,556,485,377,262,137,7,2
496,736,81.00,OIL,576,504,404,271,138,4,1
497,777,93.00,OIL,617,543,430,307,162,10,1
498,763,58.00,OIL,615,537,439,318,155,4,0
499,797,97.00,OIL,633,559,452,307,160,8,2
