frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
366,17526.32,8230.51,8227.40,1592.63,676.03,0.11,844.08,6632.41,1.29
367,18136.53,8238.88,8235.79,1575.23,678.35,0.10,824.99,6658.20,1.28
368,17865.63,8106.93,8103.84,1548.97,674.45,0.10,803.91,6552.55,1.27
369,17775.34,8010.20,8007.00,1532.56,667.97,0.10,795.60,6472.01,1.34
370,17605.59,7866.04,7862.87,1508.45,663.35,0.10,777.37,6352.03,1.32
371,17551.09,7779.07,7775.94,1493.23,656.08,0.10,770.72,6280.34,1.30
372,17539.36,7764.46,7761.38,1480.30,655.53,0.09,758.08,6278.77,1.26
373,17413.67,7726.27,7723.25,1472.20,660.01,0.09,746.07,6248.75,1.26
374,17363.20,7734.23,7731.22,1448.63,654.46,0.09,729.38,6280.33,1.24
375,18039.48,7733.63,7730.59,1430.03,647.82,0.09,713.28,5.42,6298.32,1.23
376,17979.25,7805.98,7802.89,1436.81,652.11,0.09,714.86,6363.83,1.23
377,17772.74,7794.20,7791.16,1427.93,655.93,0.09,703.54,6360.98,1.23
378,17741.95,7864.11,7861.08,1472.56,687.42,0.09,716.03,6386.25,1.23
379,17625.80,7925.25,7922.25,1482.43,685.43,0.08,728.17,6437.51,1.24
380,17341.63,7803.58,7800.62,1451.21,675.30,0.09,708.76,6347.09,1.25
381,17419.49,7862.15,7859.13,1442.62,679.45,0.08,696.40,6414.04,1.31
382,17275.53,7873.93,7870.97,1427.08,674.68,0.08,686.87,6441.38,1.33
383,17128.61,7829.58,7826.62,1401.63,664.72,0.08,672.77,6422.48,1.35
384,17061.25,7800.86,7797.82,1403.17,668.54,0.08,669.85,6392.02,1.42
385,16953.92,7740.58,7737.59,1402.75,677.39,0.08,660.49,6332.25,1.40
386,16931.62,7743.40,7740.41,1411.22,680.03,0.08,666.31,6326.65,1.38
387,16794.37,7681.74,7678.79,1393.23,675.98,0.07,652.88,6283.01,1.38
388,16793.52,7687.83,7684.96,1380.45,671.59,0.07,645.54,6302.03,1.35
389,17606.30,7746.15,7743.27,1409.47,675.88,0.08,669.86,6331.28,1.35
390,17540.27,7836.20,7833.25,1448.65,681.56,0.08,702.95,6382.01,1.38
391,17355.32,7844.38,7841.43,1437.91,679.65,0.08,694.88,6400.94,1.38
392,17291.68,7877.17,7874.17,1439.92,682.25,0.08,695.31,6431.72,1.36
393,17149.70,7861.52,7858.51,1456.31,684.04,0.08,708.55,6399.64,1.37
394,17144.65,7929.09,7926.09,1471.28,684.94,0.08,723.87,6452.20,1.39
395,16945.46,7850.06,7847.02,1445.10,677.42,0.07,706.25,6399.19,1.51
396,16997.80,7903.64,7900.56,1438.74,679.71,0.07,693.25,5.36,6459.11,1.53
397,16807.85,7843.93,7840.87,1431.42,673.18,0.07,693.89,6406.73,1.53
398,16773.35,7820.05,7817.01,1421.53,672.17,0.07,686.08,6392.77,1.53
399,16614.25,7703.03,7700.03,1407.24,665.22,0.07,680.03,6290.12,1.51
400,16596.13,7629.00,7625.96,1392.22,664.69,0.07,666.42,6231.10,1.50
401,16495.04,7511.67,7508.64,1388.67,665.51,0.07,662.97,6117.36,1.47
402,16576.56,7531.35,7528.33,1374.16,658.83,0.07,655.97,6151.57,1.45
403,16464.30,7487.25,7484.21,1370.17,652.83,0.08,657.87,6111.42,1.45
404,16413.70,7418.57,7415.49,1365.58,649.35,0.09,657.41,6047.28,1.43
405,16405.20,7390.64,7387.54,1367.32,656.26,0.08,653.16,6017.61,1.43
406,17099.77,7332.49,7329.37,1347.49,647.30,0.08,643.21,5979.28,1.43
407,17045.85,7298.98,7295.83,1343.16,651.39,0.07,635.59,5950.09,1.42
408,16908.77,7213.14,7210.05,1351.72,648.78,0.07,647.58,5855.75,1.43
409,16969.06,7261.07,7258.02,1355.96,652.31,0.08,647.53,5899.49,1.43
410,16839.43,7252.98,7249.97,1337.90,648.53,0.07,633.76,5909.50,1.44
411,16725.00,7198.27,7195.26,1341.59,653.70,0.07,632.75,5851.12,1.44
412,16688.81,7173.80,7170.73,1340.32,652.52,0.07,633.47,5827.85,1.44
413,16557.74,7070.66,7067.60,1325.73,645.85,0.07,626.34,5739.37,1.41
414,16629.28,7100.29,7097.17,1320.87,640.70,0.07,627.26,5773.73,1.47
415,16606.48,7170.34,7167.19,1339.76,657.17,0.07,629.21,5824.79,1.52
416,16446.38,7135.77,7132.59,1324.80,655.20,0.07,616.98,5805.16,1.52
417,16443.05,7128.27,7125.15,1306.56,646.88,0.07,607.84,5815.99,1.50
418,16463.54,7206.95,7203.81,1293.97,641.29,0.06,601.50,5907.27,1.49
419,17165.06,7258.38,7255.25,1302.80,647.55,0.06,604.52,5949.89,1.48
420,17091.82,7288.44,7285.30,1318.14,653.22,0.06,613.79,5964.63,1.46
421,16892.41,7200.59,7197.47,1335.17,670.87,0.07,613.11,5859.83,1.41
422,16973.50,7270.41,7267.28,1387.81,673.79,0.08,650.93,10.94,5876.99,1.41
423,16762.55,7199.85,7196.75,1376.21,673.66,0.07,640.36,5818.10,1.37
424,16897.04,7330.87,7327.78,1376.90,679.95,0.07,634.54,5948.42,1.39
425,16704.50,7333.89,7330.77,1384.68,692.25,0.07,630.89,5943.59,1.42
426,16814.99,7507.77,7504.53,1394.27,697.11,0.07,636.34,6107.75,1.42
427,17241.36,7406.68,7403.45,1377.54,685.58,0.07,632.19,6023.43,1.40
428,17173.43,7307.46,7304.21,1378.50,688.22,0.07,625.97,5.43,5923.27,1.38
429,17119.64,7243.64,7240.39,1380.16,683.38,0.07,632.59,5857.80,1.37
